station,Longitude,Latitude,in itemset
A414,-40.80138888,-14.8861111,1
A739,-46.80527777,-22.415,1
A128,-62.94222221,-0.95861111,1
A711,-47.88333333,-21.97972221,1
A520,-48.15138888,-19.98583333,1
A832,-54.31083333,-30.34138888,1
A020,-48.19416666,-8.9686111,1
A123,-56.75472222,-2.64055555,1
A425,-41.38888888,-12.55722222,1
A524,-45.45388888,-20.45472222,1
A901,-56.72944443,-15.55916666,1
A212,-47.34305555,-3.01027777,1
A517,-42.37583332,-21.10472222,1
A229,-49.67499999,-3.82277777,1
A120,-60.02555554,-2.05638888,1
A214,-48.17333332,-4.82749999,1
A919,-58.57194443,-9.90611111,1
A516,-46.63388888,-20.74499999,1
A215,-47.35666666,-0.6186111,1
A014,-50.14138888,-15.93916666,1
A834,-50.13527777,-30.00972222,1
A718,-50.97416666,-22.37249999,1
A021,-48.20111111,-7.10416666,1
A537,-43.64805555,-18.2311111,1
A652,-43.19027777,-22.98833333,1
A821,-49.94638888,-23.50527777,1
A864,-50.36333333,-26.3936111,1
A622,-41.03944444,-21.10083333,1
A926,-55.79055555,-10.00527777,1
A713,-47.66666666,-23.35,1
A525,-47.43416666,-19.87527777,1
A728,-45.52027777,-23.04194444,1
A820,-54.01972221,-24.53583333,1
A515,-45.40416666,-21.56638888,1
A810,-54.48055554,-27.89305555,1
A227,-48.51583333,-0.81111111,1
A533,-42.94305555,-18.78666666,1
A535,-44.41694444,-19.88527778,1
A611,-43.7,-22.35,1
A910,-57.3936111,-9.56388888,1
A939,-61.43416666,-11.44583333,1
A615,-40.74138888,-20.63638888,1
A248,-47.0575,-1.73472221,1
A219,-45.37277777,-1.66166666,1
A026,-52.60111111,-17.45472222,1
A907,-54.56666666,-16.45,1
A714,-48.88527777,-23.98138888,1
A874,-50.3686111,-25.83499999,1
A621,-43.41138888,-22.86138888,1
A938,-60.15777777,-12.73472221,1
A837,-52.55833333,-28.85361111,1
A117,-63.14527777,-4.09749999,1
A853,-53.6736111,-28.60361111,1
A523,-46.98583333,-18.99638888,1
A617,-41.48888888,-20.75055555,1
A902,-57.41666666,-14.65,1
A607,-41.35,-21.71666666,1
A541,-42.38916666,-17.70527777,1
A854,-53.41277777,-27.39555555,1
A868,-48.76194444,-26.95083333,1
A529,-44.96166666,-22.3961111,1
A445,-39.69249999,-14.17138888,1
A612,-40.3,-20.26666666,1
A111,-64.7886111,-7.43527777,1
A431,-37.59972221,-11.8,1
A003,-49.1,-17.71666667,1
A920,-58.73305554,-11.36694443,1
A827,-54.01333333,-31.34777777,1
A608,-41.81666667,-22.38333333,1
A819,-49.99972221,-24.78944444,1
A836,-53.37638888,-32.53749999,1
A867,-49.49805555,-28.93138888,1
A812,-53.46749999,-30.54777777,1
A705,-49.02888888,-22.35805555,1
A518,-43.36416666,-21.76999999,1
A314,-38.19749999,-4.26111111,1
A507,-48.25555555,-18.91722221,1
A858,-52.415,-26.9386111,1
A016,-51.71777777,-17.92388888,1
A226,-46.78277777,-1.04527777,1
A513,-43.76944443,-20.54583333,1
A813,-52.38249999,-29.87333332,1
A405,-39.26666666,-17.73333333,1
A818,-50.8711111,-25.01333333,1
A203,-44.21305555,-2.52694443,1
A602,-43.6,-23.05,1
A508,-40.68777777,-16.16666666,1
A828,-52.30638888,-27.66027777,1
A444,-39.12666666,-13.3436111,1
A434,-39.61694443,-13.00944444,1
A320,-34.81527777,-7.16583333,1
A009,-48.3,-10.18333333,1
A844,-51.51222222,-28.22194443,1
A304,-35.2,-5.9,1
A209,-52.96361111,-3.51083333,1
A859,-50.98555555,-26.81944443,1
A805,-53.7911111,-27.85416666,1
A840,-51.53472221,-29.16722221,1
A702,-54.6,-20.45,1
A811,-52.70111111,-31.40583333,1
A322,-36.49472221,-8.90694444,1
A505,-46.94944444,-19.60555555,1
A614,-40.0686111,-19.35694444,1
A802,-52.1,-32.03333333,1
A122,-57.6736111,-3.39888888,1
A701,-46.61666666,-23.48333333,1
A213,-48.36666666,-2.6,1
A703,-55.71638888,-22.5525,1
A860,-50.60416666,-27.2886111,1
A746,-48.41638888,-24.96305555,1
A119,-60.62833332,-3.29472221,1
A417,-37.79472221,-11.27249999,1
A134,-67.06111111,-0.12499999,1
A522,-40.24972221,-17.7986111,1
A708,-47.37999999,-20.57999999,1
A305,-38.53777777,-3.83222221,1
A715,-48.16444444,-23.85138888,1
A619,-44.72666666,-23.22333332,1
A609,-44.45,-22.45,1
A880,-50.88277777,-28.51361111,1
A839,-52.40388888,-28.22944443,1
A861,-50.14638888,-26.93749999,1
A740,-45.41722221,-23.22833332,1
A356,-35.56583333,-9.28749999,1
A514,-44.97944443,-21.22638888,1
A510,-42.86388888,-20.76277777,1
A879,-50.82749999,-29.36888888,1
A616,-39.84833333,-18.71388888,1
A808,-49.73305554,-29.35027777,1
A807,-49.26666666,-25.43333333,1
A814,-49.31555555,-28.53249999,1
A437,-39.0911111,-15.27999999,1
A624,-42.67722221,-22.33305554,1
A126,-60.04888888,-2.08499999,1
A427,-39.18249999,-16.38916666,1
A841,-51.57555554,-27.16944443,1
A845,-49.48333333,-28.13333333,1
A823,-51.08944444,-25.56583333,1
A002,-49.21999999,-16.64277777,1
A829,-50.05833333,-28.75138888,1
A817,-49.26749999,-26.91361111,1
A913,-59.76277777,-13.70861111,1
A310,-35.68499999,-6.97499999,1
A001,-47.92583332,-15.78944444,1
A613,-40.57944443,-19.98833333,1
A610,-43.29138888,-22.48166666,1
A438,-38.97222221,-13.90722222,1
A863,-49.64666666,-27.41833332,1
A803,-53.70361111,-29.70833333,1
A873,-48.80861111,-25.51277777,1
A875,-51.35444444,-26.3986111,1
A530,-46.38305554,-21.91805554,1
A712,-47.55,-24.71666666,1
A851,-48.64166666,-26.0811111,1
A601,-43.68333333,-22.8,1
A815,-49.93444444,-28.27555554,1
A603,-43.28222221,-22.58972221,1
A502,-43.76694443,-21.22888888,1
A801,-51.16666666,-30.05,1
A410,-39.1811111,-14.65944444,1
A301,-34.95944444,-8.05916666,1
A862,-49.58055554,-26.2486111,1
A838,-51.83472221,-30.81055555,1
A618,-42.98722221,-22.44888888,1
A806,-48.61999999,-27.6025,1
A531,-45.37277777,-22.31444444,1
A125,-59.94333333,-2.7211111,1
A101,-60.01638888,-3.10333333,1
A406,-39.15,-12.65,1
A303,-35.77027777,-9.55111111,1
A407,-40.11972221,-13.52833332,1
A509,-46.04333333,-22.86138888,1
A202,-47.93083332,-1.30083333,1
A401,-38.51666666,-13.01666666,1
A201,-48.43833333,-1.41027777,1
